docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,lineage_path,retry_source,match_stage,is_disambiguation
1002652,Urban stormwater source control policies: why and how?,Stormwater management,Stormwater management network effectiveness and implications for urban watershed function: A critical review,Q59787949,,Stormwater management network effectiveness and implications for urban watershed function: A critical review > scholarly article > scientific publication > publication,context,context,no
1002652,Urban stormwater source control policies: why and how?,Urban areas,Urban Areas,Q58259934,,Urban Areas > scholarly article > scientific publication > publication,context,context,no
1002652,Urban stormwater source control policies: why and how?,Source control,source control,Q96406059,,source control,context,context,no
1002652,Urban stormwater source control policies: why and how?,Policy-making,Policy-making as an Articulation and Communication Process: Nicaragua's Telecommunications Reforms,Q112059696,,Policy-making as an Articulation and Communication Process: Nicaragua's Telecommunications Reforms > written work > intellectual work > work,context,context,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Mixed convection,Mixed convection peristaltic flow of Eyring-Powell nanofluid in a curved channel with compliant walls,Q47984612,,Mixed convection peristaltic flow of Eyring-Powell nanofluid in a curved channel with compliant walls > scholarly article > scientific publication > publication,context,context,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Poiseuille-Rayleigh-Bénard flow,,,,,,none,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,Convective instability,context,context,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Rectangular channel,,,,,,none,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Harmonic inlet excitation,,,,,,none,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,CVD,CVD prevention : the journal of the International Society and Federation of Cardiology,Q96320395,,CVD prevention : the journal of the International Society and Federation of Cardiology > scientific journal > trade magazine > magazine,context,context,no
